symbol,contract,expiry_proxy,first_bar,last_bar,n_bars,file_bytes,sha256
ES,ES 09-26,2026-09-18,2026-06-15 18:01:00-05:00,2026-06-22 09:42:00-05:00,6223,304319,e7c8f19ea246bd74dd92de03af72f7591da19a73ad88483263b069f957f5813e
MES,MES 09-20,2020-09-18,2020-06-07 13:20:00-05:00,2020-09-09 18:00:00-05:00,90780,4442451,e8695fe15abc8a44feb8e611fe38d08e0c9c6e9bc46acb5b8f31dda1ff4f4d42
MES,MES 12-20,2020-12-18,2020-09-06 17:01:00-05:00,2020-12-09 18:00:00-06:00,90217,4408867,047007d3bb8f9cb0a747e25129a4e57774cbc85754f099ef2f40c1d264e4f130
MES,MES 03-21,2021-03-19,2020-12-06 09:02:00-06:00,2021-03-10 18:00:00-06:00,87147,4252362,7ea6396f14ceb442db9353e57e48fbfb3dc3c0fda02f9cc70d077b7b374b907b
MES,MES 09-21,2021-09-17,2021-06-06 17:01:00-05:00,2021-09-08 18:00:00-05:00,90906,4415817,9b534084dfead08fb7657e1fd3210efa7aeb9ba6c5cc5fb1d5a2480391cfb6da
MES,MES 12-21,2021-12-17,2021-09-05 17:01:00-05:00,2021-12-08 18:00:00-06:00,91567,4464868,258b7035270f03a885b8525b4cb92dbeee475c6c88d3030cee47327ffd02da1a
MES,MES 03-22,2022-03-18,2021-12-05 10:31:00-06:00,2022-03-09 18:00:00-06:00,91521,4471345,42790e362d5bc35545d68a6dfe4fa4a6707c563153218d127943a32b10d0ab8a
MES,MES 09-22,2022-09-16,2022-06-08 18:01:00-05:00,2022-09-11 18:00:00-05:00,91656,4488090,7dae5e3f012be74a16e8ccbc76bf10915b71afa266b48c644306e75d79f4fd29
MES,MES 12-22,2022-12-16,2022-09-07 18:01:00-05:00,2022-12-11 18:00:00-06:00,91321,4476674,90da3c8add9da3a8d2a40a520799fc2af2240182fec5f4acd35023705098e447
MES,MES 03-23,2023-03-17,2022-12-07 18:01:00-06:00,2023-03-12 19:00:00-05:00,89217,4364382,96582aa1ca83744ed62e19dbc15bc5869dba42c95b53674728b2fd921a6f8303
MES,MES 09-23,2023-09-15,2023-06-07 18:01:00-05:00,2023-09-10 18:00:00-05:00,91340,4448022,aa2f41fb6deec940620ae81ad595d07060d3f02bc64497085b09f4a34a08059e
MES,MES 12-23,2023-12-15,2023-09-06 18:01:00-05:00,2023-12-10 18:00:00-06:00,90160,4400374,df642958a8e65b49b0eb2b7132b0bd52be9e1197b49d3b34411ca98911fbd6bd
MES,MES 03-24,2024-03-15,2023-12-06 18:01:00-06:00,2024-03-10 19:00:00-05:00,88978,4329011,5e429444596180ede78fce78aeab9ab098a6d1a42e2134c3c929e07b0cb73cd1
MES,MES 09-24,2024-09-20,2024-06-12 18:01:00-05:00,2024-09-15 18:00:00-05:00,91269,4456351,ec14b8857d609e2fe37b28a0ae0cb866ff753ea5fb8f33a05ac448cae8f38c37
MES,MES 03-25,2025-03-21,2024-12-11 18:01:00-06:00,2025-03-16 19:00:00-05:00,86856,4246591,f1e758a9e939ec7ce86bf04c2b386e124cb912ca38c684bbf815cd62ae4f7680
MES,MES 09-25,2025-09-19,2025-06-11 18:01:00-05:00,2025-09-14 18:00:00-05:00,89128,4350614,7a698e4f05bb09da2f695d07fe8cebaf5fe8c0e1bc4af79ace931474eb90847d
MES,MES 03-26,2026-03-20,2025-12-10 18:01:00-06:00,2026-03-15 19:00:00-05:00,88982,4359385,03f436b6fbe9d19373e4d2bbc1853f265d7d84135aa2dcc6210da68b0e85af35
MES,MES 09-26,2026-09-18,2026-06-07 18:01:00-05:00,2026-06-22 10:35:00-05:00,14034,676966,ebb65acc8ae6f93de596decaf81a8576c7b3fb90d10dc7df1beffbafdf7ad0b5
MNQ,MNQ 06-19,2019-06-21,2019-05-05 17:04:00-05:00,2019-06-12 17:59:00-05:00,36458,1742834,568a4522c4ba8b90caf7b502848c36340d2f1b6f267637f40cc829541932319f
MNQ,MNQ 09-19,2019-09-20,2019-06-09 16:18:00-05:00,2019-09-11 18:00:00-05:00,85907,4129668,449abb5cfeec854e4da335bceb6e641008045ff5d8cf9eaae06946adf0cb1078
MNQ,MNQ 12-19,2019-12-20,2019-09-08 17:14:00-05:00,2019-12-11 18:00:00-06:00,87447,4205564,41434174f71363fa5ec66eb902dbfd4b3476b70cbb2c90d7ac425c9d51ecbd0a
MNQ,MNQ 03-20,2020-03-20,2019-12-08 17:01:00-06:00,2020-03-11 19:00:00-05:00,84727,4101542,1434408ef4fda96624c359d11448544523f891b67a8bad79486262772f27104a
MNQ,MNQ 06-20,2020-06-19,2020-03-08 03:27:00-05:00,2020-06-10 18:00:00-05:00,87162,4246470,9cf7d820b080bab0cc32d0a144f96c3b611883bc944f585fdc89d5ec25d18e71
MNQ,MNQ 09-20,2020-09-18,2020-06-07 13:20:00-05:00,2020-09-09 18:00:00-05:00,89930,4680531,1531df0b06dfe08e892ba2f211327447335b9580a6c4643dbdac002ffbce3dc9
MNQ,MNQ 12-20,2020-12-18,2020-09-06 17:01:00-05:00,2020-12-09 18:00:00-06:00,90683,4782563,8756a1aa4619471ea24f16c77d51da0fbec847b4914855edfb626090b298a541
MNQ,MNQ 03-21,2021-03-19,2020-12-06 09:02:00-06:00,2021-03-10 18:00:00-06:00,87340,4609161,f5625e344a78a97cfb79b98772a1c3e85faf9b7a7b301e3797bda90179385337
MNQ,MNQ 06-21,2021-06-18,2021-03-07 17:01:00-06:00,2021-06-09 18:00:00-05:00,91360,4823875,eb1cf88b4afdb06317a8df1618a1ea3bf27218b964d3afef3b3236a6271c145b
MNQ,MNQ 09-21,2021-09-17,2021-06-06 17:01:00-05:00,2021-09-08 18:00:00-05:00,91092,4791998,2bc281f849992ab5f1521cb51c9586a0c53a803f5a1760c57901772b3a417896
MNQ,MNQ 12-21,2021-12-17,2021-09-05 17:01:00-05:00,2021-12-08 18:00:00-06:00,91364,4834656,f8bc895b6b01e153c9f14a32d691bc01815d633b88151c569bb90d824c165e74
MNQ,MNQ 03-22,2022-03-18,2021-12-05 10:31:00-06:00,2022-03-09 18:00:00-06:00,91834,4867315,562ebb0fc2691da35a7220bb36f1f8e88b9696a1aca518f605c079923183e0e7
MNQ,MNQ 06-22,2022-06-17,2022-03-06 13:28:00-06:00,2022-06-08 18:00:00-05:00,91964,4869799,2085bdb1288d04a36a83eb7b56878a1c8f34326a422393573b3c7221aa1b9399
MNQ,MNQ 09-22,2022-09-16,2022-06-05 17:01:00-05:00,2022-09-07 18:00:00-05:00,91882,4865689,015e4fb847e1dced324cbbd3b563c8674be4b646e64526872a543f874e54a42e
MNQ,MNQ 12-22,2022-12-16,2022-09-04 13:36:00-05:00,2022-12-11 18:00:00-06:00,94405,5000846,0a112c8fe05e6dcf123ed39bf2b0c3b5a51da7c1a7f5f11ca01da87e114d1f76
MNQ,MNQ 03-23,2023-03-17,2022-12-07 18:01:00-06:00,2023-03-12 19:00:00-05:00,89296,4722694,d0977a9bc3ce9c4946acd7cc53e4280ec277bcf99d290537cb2a241369657b09
MNQ,MNQ 06-23,2023-06-16,2023-03-08 18:01:00-06:00,2023-06-11 18:00:00-05:00,91356,4819970,9a9bd61cb560e55c4b8e73f7f9c3afbeb332c24d01de35340acb3f4ab13c50bc
MNQ,MNQ 09-23,2023-09-15,2023-06-07 18:03:00-05:00,2023-09-10 18:00:00-05:00,91284,4819488,792026a4618723d0b62773f4cc209512a4e1ff7fa93ae3a07e0b66ade0539fd1
MNQ,MNQ 12-23,2023-12-15,2023-09-06 18:02:00-05:00,2023-12-10 18:00:00-06:00,91818,4853005,87361ec228e0a795e11159806608e49a866bbccd42fa9d11d9053753de87f04f
MNQ,MNQ 03-24,2024-03-15,2023-12-06 18:01:00-06:00,2024-03-10 19:00:00-05:00,89229,4710917,7822932dea6366541748cb3cf21769e6c6450f4e9e40a43afa09d282c2db449f
MNQ,MNQ 06-24,2024-06-21,2024-03-06 18:01:00-06:00,2024-06-16 18:00:00-05:00,97664,5161286,2592c0d65ebcc92d62322ee812016e4d42e62d230838f375820e3f1bbe64de34
MNQ,MNQ 09-24,2024-09-20,2024-06-12 18:01:00-05:00,2024-09-15 18:00:00-05:00,91488,4840940,b5f98d52ca291baed26caf6ddd733de3093467e7ee9ff33eb2e24e1bcf398b7e
MNQ,MNQ 12-24,2024-12-20,2024-09-11 18:01:00-05:00,2024-12-15 18:00:00-06:00,92016,4861213,0620f8cffa99d891732d7bae5c0799fff5c3932a4f47edf1f5ba2e9a0032dcc7
MNQ,MNQ 03-25,2025-03-21,2024-12-11 18:01:00-06:00,2025-03-16 19:00:00-05:00,88402,4682276,b4b8b2661990f23b2fb1141bb26351ad6c08f649ad4fa75a2ee0f248cbbe2092
MNQ,MNQ 06-25,2025-06-20,2025-03-12 19:01:00-05:00,2025-06-15 18:00:00-05:00,90769,4811952,b2f0d9ff7fa50645f4a1eec666f475c143de5e3a6eca525321c47c736655a995
MNQ,MNQ 09-25,2025-09-19,2025-06-11 18:01:00-05:00,2025-09-14 18:00:00-05:00,91471,4839161,255fd98701b3bf06017a2f090a2602fac48d5339e70b752d83b722ea57594ed1
MNQ,MNQ 12-25,2025-12-19,2025-09-10 18:01:00-05:00,2025-12-14 18:00:00-06:00,91186,4835906,583232b97508acb2c19b66bd49729ffb197310f4c28a610efe2cd0653c72bb15
MNQ,MNQ 03-26,2026-03-20,2025-12-10 18:01:00-06:00,2026-03-15 19:00:00-05:00,86958,4615974,09293d90d1549ee1236d40997a94f87562f016536db9c5ece7267bb7284b43b8
MNQ,MNQ 06-26,2026-06-19,2026-03-11 19:01:00-05:00,2026-06-11 18:00:00-05:00,90069,4785249,c7fe0dd42b2f044f147a653eee2fa43cd97d82457f4cef2d40a67487165f74ac
MNQ,MNQ 09-26,2026-09-18,2026-06-07 18:01:00-05:00,2026-06-22 15:54:00-05:00,14535,759864,5320b9014a15590c6ee1bc578584f3a5fb01e099ee06af0718aa2f03765fbbe8
